id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
PIETKST01,196,91,G,1978,1980,96,376,93,174,41,325,149,62,50
PILCHJO01,190,84,F,1951,1951,9,5,9,2,0,10,1,6,3
PINCKED01,206,88,F,1985,1996,793,5378,3952,727,612,3577,1915,2024,1548
PinknKe01,208,111,F,2006,2006,6,31,15,5,3,27,12,9,6
PINONJO01,203,104,F,1983,1983,7,20,10,3,2,13,7,10,6
PIONTDA01,197,104,F,1956,1962,413,2955,1770,478,0,3054,1194,869,567
PIOTRTO01,216,109,C,1983,1983,18,30,16,5,1,26,12,6,6
PIPPESC01,201,95,F,1987,2003,1178,18940,7494,6135,2307,15700,7420,4437,3122
PITTMCH01,203,100,F,1982,1985,234,1060,718,204,75,694,379,425,302
PLANIZO01,201,88,G,2003,2005,148,561,198,165,58,486,197,192,130
PLUMMGA01,206,98,F,1984,1992,126,531,307,66,29,460,198,187,134
PODKOPA01,226,136,C,2004,2005,6,4,9,0,0,2,0,8,4
POLEEDW01,196,82,F,1986,1986,1,2,0,0,1,4,1,0,0
POLLAJI01,192,84,F,1948,1954,438,5762,2487,1417,0,6379,2299,1552,1164
POLLASC01,211,120,C,1997,2007,506,2222,2351,220,299,1738,858,714,506
POLSORA01,201,91,F,1952,1952,49,191,211,24,0,179,65,96,61
POLYNOL01,211,100,C,1987,2003,1058,8265,7110,744,516,7037,3557,2141,1146
PONDECL01,206,106,F,1975,1977,197,778,747,218,81,722,300,267,178
POPEDA01,201,100,F,1984,1985,33,62,29,9,5,73,26,17,9
POPEMA01,208,107,F,1997,2004,153,285,261,63,32,289,116,75,43
POPSODA01,208,100,C,1988,1991,41,76,46,13,4,79,32,16,12
POQUEBE01,206,107,F,1977,1986,718,4899,3731,872,384,4092,1975,1202,936
PORTECH01,201,99,F,2000,2000,51,440,189,61,45,445,173,141,94
PORTEHO01,203,100,F,1971,1977,457,4215,1872,211,156,3922,1838,672,539
PORTEKE01,183,77,G,1972,1982,659,7645,1179,5314,830,6617,3194,1701,1254
PORTETE01,190,88,G,1985,2001,1274,15586,3872,7160,1583,11734,5428,4107,3433
PORTMBO01,196,91,F,1969,1972,221,1254,729,128,0,1172,519,277,216
POSTELA01,196,93,G,2000,2002,61,195,45,13,12,176,59,83,66
POTAPVI01,208,127,C,1996,2006,610,3995,2725,418,258,3424,1639,1031,716
PowelKa01,201,99,F,2007,2007,11,84,44,18,9,95,35,9,6
PowelRo01,198,107,F,2006,2006,3,2,3,0,0,3,0,2,2
PRESSDO01,188,77,G,1988,1988,13,23,15,26,4,31,9,9,5
PRESSHA01,201,95,F,1986,1989,299,2702,1339,628,275,2458,1075,442,344
PRESSPA01,196,84,G,1982,1992,724,7664,2798,3715,997,5890,2855,2503,1875
PRICEBR01,185,75,G,1992,2001,418,2481,684,1236,313,1918,818,585,482
PRICEJI01,189,88,G,1972,1978,510,5088,1566,1886,724,4798,2129,1018,830
PRICEMA01,183,77,G,1986,1997,722,10989,1848,4863,860,8345,3939,2362,2135
PRICEMI01,190,91,G,1970,1972,123,397,157,90,4,405,163,92,71
PRICETO01,198,86,G,1980,1980,5,4,0,3,2,7,2,0,0
PRIDDBO01,190,86,F,1952,1952,16,36,36,7,0,38,14,14,8
PRITCJO01,206,100,C,1949,1949,7,22,0,8,0,29,9,11,4
PRITCKE01,190,82,G,1990,1995,94,340,90,152,37,298,119,119,94
PROFILA01,196,93,G,1999,2005,135,441,209,166,70,413,173,104,74
PruitGa01,193,77,G,2007,2008,62,125,51,52,20,140,45,23,18
PUGHLE01,201,86,C,1948,1949,116,712,0,75,0,829,236,303,240
PUGHRO01,198,95,C,1948,1948,23,32,0,9,0,51,13,19,6
PULLAAN01,208,111,F,1992,1992,8,17,8,2,2,18,8,3,1
PUTMADO01,185,77,G,1946,1949,216,1030,0,285,0,1564,410,338,210
QUICKBO01,196,98,F,1968,1971,142,848,395,94,9,650,295,346,258
QUINNBR01,203,107,G,1989,1991,138,474,224,76,41,485,201,65,44
RACKLLU01,208,100,C,1969,1973,221,1337,1003,143,3,1146,517,484,303
RADERHO01,185,86,G,1948,1948,13,17,0,14,0,45,7,10,3
RADFOMA01,193,86,G,1981,1982,97,347,76,161,50,272,138,142,65
RADFOWA01,190,93,G,1978,1978,52,202,68,57,30,175,83,45,36
RADJADI01,211,102,F,1993,1996,224,3733,1883,356,201,3052,1516,954,701
RADOJAL01,221,110,C,1999,2004,15,26,36,7,2,26,8,16,10
RADOVFR01,203,107,F,1961,1961,37,87,51,4,0,93,37,26,13
RADOVMO01,183,73,G,1952,1952,4,14,1,8,0,13,5,4,4
RADZIRA01,196,95,F,1957,1957,1,0,2,1,0,3,0,0,0
RAGELRA01,193,93,F,1951,1951,51,68,76,31,0,96,25,29,18
RAIKESH01,188,84,G,1952,1952,6,9,8,6,0,21,3,8,3
RAINSED01,201,86,F,1981,1982,83,287,124,62,28,260,110,107,67
RAKOCIG01,190,83,G,2002,2002,42,78,17,33,4,58,22,36,29
